State,Year,HPI,UR,Region,pop,subPrimePct
Minnesota,2002,287.8,4.5,Midwest,,0.069
Mississippi,2002,196.3,6.7,South,,0.111
Missouri,2002,240.7,5.2,South,,0.097
Montana,2002,245.4,4.5,West,,0.058
Nebraska,2002,219.9,3.7,Midwest,,0.086
Nevada,2002,221.3,5.7,West,,0.118
New Hampshire,2002,369.6,4.5,New England,,0.086
New Jersey,2002,367.9,5.8,Middle Atlantic,,0.074
New Mexico,2002,222.2,5.5,Southwest,,0.089
New York,2002,441.3,6.2,Middle Atlantic,,0.104
North Carolina,2002,262.9,6.6,South,,0.091
North Dakota,2002,185.4,3.5,Midwest,,0.037
Ohio,2002,241.9,5.7,Midwest,,0.104
Oklahoma,2002,165.7,4.8,Southwest,,0.112
Oregon,2002,281.6,7.6,West,,0.079
Pennsylvania,2002,282.2,5.6,Middle Atlantic,,0.086
Rhode Island,2002,391,5.1,New England,,0.114
South Carolina,2002,245.2,5.9,South,,0.088
South Dakota,2002,223.1,3.3,Midwest,,0.059
Tennessee,2002,239,5.3,South,,0.114
Texas,2002,182.7,6.4,Southwest,,0.117
Utah,2002,253.8,5.8,West,,0.102
Vermont,2002,301.6,4,New England,,0.039
Virginia,2002,283.7,4.2,South,,0.071
Washington,2002,308,7.3,West,,0.074
West Virginia,2002,179,5.9,South,,0.066
Wisconsin,2002,257.2,5.3,Midwest,,0.035
Wyoming,2002,175,4.1,West,,0.087
Alabama,2003,229.6,5.5,South,,0.098
Alaska,2003,204,7.7,West,,0.057
Arizona,2003,250.4,5.7,Southwest,,0.109
Arkansas,2003,211.8,5.8,South,,0.062
California,2003,407.3,6.8,West,,0.133
Colorado,2003,323.6,6.1,West,,0.097
Connecticut,2003,366.9,5.5,New England,,0.106
Delaware,2003,357.5,4.2,Middle Atlantic,,0.094
Washington DC,2003,401.4,7,South,,0.045
Florida,2003,290,5.3,South,,0.135
Georgia,2003,286.4,4.8,South,,0.094
Hawaii,2003,320.9,3.9,West,,0.09
Idaho,2003,232.3,5.3,West,,0.083
Illinois,2003,301.6,6.7,Midwest,,0.087
Indiana,2003,234.2,5.3,Midwest,,0.096
Iowa,2003,219.9,4.4,Midwest,,0.073
Kansas,2003,213,5.6,Midwest,,0.087
Kentucky,2003,248.8,6.2,South,,0.086
Louisiana,2003,190,6.3,South,,0.087
Maine,2003,397.9,5,New England,,0.097
Maryland,2003,338.7,4.5,Middle Atlantic,,0.089
Massachusetts,2003,607.9,5.8,New England,,0.081
Michigan,2003,297.8,7.1,Midwest,,0.084
Minnesota,2003,312.9,4.8,Midwest,,0.078
Mississippi,2003,202.2,6.4,South,,0.095
Missouri,2003,253.6,5.6,South,,0.1
Montana,2003,266.2,4.4,West,,0.073
Nebraska,2003,228.5,4,Midwest,,0.087
Nevada,2003,250.6,5.3,West,,0.14
New Hampshire,2003,406.5,4.4,New England,,0.098
New Jersey,2003,412.6,5.8,Middle Atlantic,,0.081
New Mexico,2003,235.6,5.9,Southwest,,0.085
New York,2003,493.9,6.4,Middle Atlantic,,0.118
North Carolina,2003,271.2,6.4,South,,0.092
North Dakota,2003,196.2,3.6,Midwest,,0.032
Ohio,2003,250.9,6.2,Midwest,,0.098
Oklahoma,2003,172.3,5.6,Southwest,,0.113
Oregon,2003,299.1,8.1,West,,0.092
Pennsylvania,2003,304.3,5.7,Middle Atlantic,,0.079
Rhode Island,2003,456.9,5.4,New England,,0.145
South Carolina,2003,253.7,6.7,South,,0.09
South Dakota,2003,235.6,3.6,Midwest,,0.054
Tennessee,2003,247,5.7,South,,0.128
Texas,2003,186.9,6.7,Southwest,,0.125
Utah,2003,256.8,5.6,West,,0.111
Vermont,2003,334.9,4.5,New England,,0.045
Virginia,2003,311.5,4.1,South,,0.075
Washington,2003,325.1,7.4,West,,0.082
West Virginia,2003,186.1,6,South,,0.059
Wisconsin,2003,274.8,5.6,Midwest,,0.046
Wyoming,2003,187,4.4,West,,0.075
Alabama,2004,241.9,5.2,South,,0.173
Alaska,2004,225,7.4,West,,0.13
Arizona,2004,291.3,5,Southwest,,0.199
Arkansas,2004,226.4,5.6,South,,0.101
California,2004,508.9,6.2,West,,0.221
Colorado,2004,337.7,5.6,West,,0.186
Connecticut,2004,413.7,4.9,New England,,0.21
Delaware,2004,411.9,4,Middle Atlantic,,0.166
Washington DC,2004,494.1,7.5,South,,0.077
Florida,2004,347.9,4.7,South,,0.228
Georgia,2004,302.8,4.8,South,,0.202
Hawaii,2004,401.6,3.3,West,,0.203
Idaho,2004,257.1,4.7,West,,0.143
Illinois,2004,328,6.2,Midwest,,0.187
Indiana,2004,243,5.3,Midwest,,0.192
Iowa,2004,230.2,4.7,Midwest,,0.124
Kansas,2004,223.7,5.6,Midwest,,0.155
Kentucky,2004,263.4,5.5,South,,0.158
Louisiana,2004,201.4,5.7,South,,0.184
Maine,2004,449.5,4.6,New England,,0.188
Maryland,2004,404.9,4.3,Middle Atlantic,,0.193
Massachusetts,2004,675.2,5.2,New England,,0.169
Michigan,2004,311.2,7,Midwest,,0.18
Minnesota,2004,339.9,4.6,Midwest,,0.149
Mississippi,2004,212.3,6.3,South,,0.159
Missouri,2004,270.8,5.8,South,,0.175
Montana,2004,295.2,4.3,West,,0.126
Nebraska,2004,240.6,3.9,Midwest,,0.159
Nevada,2004,335.4,4.6,West,,0.214
New Hampshire,2004,451.7,3.9,New England,,0.181
New Jersey,2004,475.1,4.9,Middle Atlantic,,0.136
New Mexico,2004,254.8,5.7,Southwest,,0.147
New York,2004,559.7,5.8,Middle Atlantic,,0.206
North Carolina,2004,285.6,5.5,South,,0.16
North Dakota,2004,214.2,3.5,Midwest,,0.082
Ohio,2004,261.1,6.2,Midwest,,0.187
Oklahoma,2004,181.2,4.9,Southwest,,0.174
Oregon,2004,333.6,7.3,West,,0.17
Pennsylvania,2004,340.1,5.4,Middle Atlantic,,0.148
Rhode Island,2004,536.9,5.2,New England,,0.267
South Carolina,2004,268.8,6.8,South,,0.155
South Dakota,2004,249.4,3.8,Midwest,,0.098
Tennessee,2004,259.5,5.5,South,,0.215
Texas,2004,194.1,6,Southwest,,0.201
Utah,2004,270.8,5,West,,0.183
Vermont,2004,379.4,3.7,New England,,0.122
Virginia,2004,365.7,3.7,South,,0.149
Washington,2004,362.3,6.3,West,,0.172
West Virginia,2004,200,5.3,South,,0.093
Wisconsin,2004,297.5,5,Midwest,,0.109
Wyoming,2004,208.2,3.9,West,,0.159
Alabama,2005,264.6,4,South,,
Alaska,2005,258.4,6.8,West,,
Arizona,2005,394.8,4.7,Southwest,,
Arkansas,2005,244.2,4.9,South,,
California,2005,618.4,5.4,West,,
Colorado,2005,358.7,5,West,,
Connecticut,2005,464.8,4.9,New England,,
Delaware,2005,477.2,4.2,Middle Atlantic,,
Washington DC,2005,609.6,6.5,South,,
Florida,2005,444.7,3.8,South,,
Georgia,2005,322.8,5.3,South,,
Hawaii,2005,499.5,2.8,West,,
Idaho,2005,306,3.8,West,,
Illinois,2005,359.9,5.7,Midwest,,
Indiana,2005,254.2,5.4,Midwest,,
Iowa,2005,245,4.6,Midwest,,
Kansas,2005,234.7,5.1,Midwest,,
Kentucky,2005,277.5,6.1,South,,
Louisiana,2005,220.7,7.1,South,,
Maine,2005,498.2,4.8,New England,,
Maryland,2005,493.7,4.1,Middle Atlantic,,
Massachusetts,2005,731.7,4.8,New England,,
Michigan,2005,322.8,6.7,Midwest,,
Minnesota,2005,367.4,4,Midwest,,
Mississippi,2005,228.6,7.9,South,,
Missouri,2005,290.8,5.4,South,,
Montana,2005,339.4,4,West,,
Nebraska,2005,251.2,3.8,Midwest,,
Nevada,2005,398.1,4.1,West,,
New Hampshire,2005,496.7,3.6,New England,,
New Jersey,2005,551.7,4.4,Middle Atlantic,,
New Mexico,2005,294.9,5.3,Southwest,,
New York,2005,634.5,5,Middle Atlantic,,
North Carolina,2005,309.8,5.2,South,,
North Dakota,2005,233,3.4,Midwest,,
Ohio,2005,271.2,5.9,Midwest,,
Oklahoma,2005,192.9,4.4,Southwest,,
Oregon,2005,400.7,6.1,West,,
Pennsylvania,2005,383.3,5,Middle Atlantic,,
Rhode Island,2005,595.8,5,New England,,
South Carolina,2005,294.1,6.8,South,,
South Dakota,2005,270.5,3.9,Midwest,,
Tennessee,2005,280.9,5.6,South,,
Texas,2005,205,5.3,Southwest,,
Utah,2005,307.3,4.3,West,,
Vermont,2005,432,3.5,New England,,
Virginia,2005,438.8,3.5,South,,
Washington,2005,430.3,5.5,West,,
West Virginia,2005,224.2,5,South,,
Wisconsin,2005,323,4.7,Midwest,,
Wyoming,2005,234.8,3.6,West,,
Alabama,2006,284.4,3.5,South,4631,
Alaska,2006,274.5,6.5,West,700,
Arizona,2006,432.7,4.1,Southwest,5230,
Arkansas,2006,258,5.3,South,2750,
California,2006,646.7,4.9,West,34441,
Colorado,2006,369.1,4.3,West,4468,
Connecticut,2006,481.9,4.4,New England,3317,
Delaware,2006,508.3,3.5,Middle Atlantic,800,
Washington DC,2006,660.2,5.9,South,529,
Florida,2006,488.9,3.4,South,16279,
Georgia,2006,340,4.6,South,8413,
Hawaii,2006,537.4,2.5,West,1342,
Idaho,2006,348,3.2,West,1480,
Illinois,2006,379.8,4.6,Midwest,12266,
Indiana,2006,258.6,4.9,Midwest,6215,
Iowa,2006,251.3,3.8,Midwest,2941,
Kansas,2006,243.3,4.3,Midwest,2761,
Kentucky,2006,288,5.8,South,4098,
Louisiana,2006,244.4,3.9,South,4535,
Maine,2006,522.3,4.6,New England,1285,
Maryland,2006,536.7,3.8,Middle Atlantic,5467,
Massachusetts,2006,731.9,4.8,New England,6310,
Michigan,2006,321.5,6.9,Midwest,9763,
Minnesota,2006,373.1,4,Midwest,5005,
Mississippi,2006,251.8,6.7,South,2908,
Missouri,2006,303.3,4.8,South,5718,
Montana,2006,374.1,3.3,West,1006,
Nebraska,2006,256.8,3,Midwest,1761,
Nevada,2006,414,4.2,West,2070,
New Hampshire,2006,509.6,3.5,New England,1281,
New Jersey,2006,585.1,4.7,Middle Atlantic,8392,
New Mexico,2006,330.7,4.3,Southwest,2016,
New York,2006,662,4.6,Middle Atlantic,18250,
North Carolina,2006,331.9,4.7,South,8227,
North Dakota,2006,244.3,3.2,Midwest,677,
Ohio,2006,272.8,5.4,Midwest,11428,
Oklahoma,2006,201,4.1,Southwest,3491,
Oregon,2006,455.1,5.4,West,3613,
Pennsylvania,2006,409,4.6,Middle Atlantic,12281,
Rhode Island,2006,613.7,5.1,New England,1012,
South Carolina,2006,317.4,6.4,South,4033,
South Dakota,2006,285.9,3.1,Midwest,810,
Tennessee,2006,301.9,5.1,South,5966,
Texas,2006,218.6,4.9,Southwest,21487,
Utah,2006,359.8,3,West,2411,
Vermont,2006,461.8,3.7,New England,638,
Virginia,2006,469.3,3,South,7324,
Washington,2006,488.9,4.9,West,6258,
West Virginia,2006,234.8,4.7,South,1849,
Wisconsin,2006,332.5,4.7,Midwest,5479,
Wyoming,2006,268.8,3.3,West,568,
,,,,,,
"[1] Source: Office of Federal Housing Enterprise Oversight, at http://www.ofheo.gov/hpi_download.aspx",,,,,,
"[2] Source: U.S. Bureau of Labor Statistics, at http://www.bls.gov/lau/",,,,,,
"[3] Source: U.S. Census Bureau, Population and Housing, at http://www.census.gov/popest/estimates.php",,,,,,
"[4] Source: HMDA, Home Mortgage Disclosure Act (Federal Financial Institutions Examination Council), via www.DataPlace.org http://www.dataplace.org/rankings/?la=period&minpop=0&ord=asc&period=2003&sort_by=44967&start=0&subBoundaryTypeId=5&cid=43903",,,,,,
